p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor
,,,,20,94.4355,4.97766,,399.999809,0,0,0,,37,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.1213,-97.209274,,399.999809,1,0,0,,38,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,96.5955,5.020601,,399.999809,0,0,0,,38,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,91.1613,-97.896341,,399.999809,1,0,0,,39,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.2755,4.734323,,399.999809,0,0,0,,39,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,110.740875,-0.370344,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,97.001062,-0.362543,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,92.901344,-11.22439,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,88.400781,-32.321492,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,78.401516,-69.999442,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,72.400766,-78.035208,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,67.900203,-83.227945,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,110.740875,-0.316008,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,97.001062,-1.184117,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,92.901344,-14.872573,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,88.400781,-42.424027,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,78.401516,-76.625969,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,72.400766,-73.152148,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,67.900203,-78.847792,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,110.740875,-0.226217,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,97.001062,-1.456182,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,92.901344,-0.738397,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,88.400781,-36.38508,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,78.401516,-73.329399,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,72.400766,-79.232966,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,67.900203,-83.253711,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,93.1613,-179.918503,,399.999809,1,4.65,0,,0,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,92.9155,10.47062,,399.999809,0,4.65,0,,0,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.1213,-190.46782,,399.999809,1,4.65,0,,1,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.5155,9.840808,,399.999809,0,4.65,0,,1,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.5213,-209.970488,,399.999809,1,4.65,0,,2,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,93.4755,11.680145,,399.999809,0,4.65,0,,2,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.5213,-220.276477,,399.999809,1,4.65,0,,3,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.8355,11.379553,,399.999809,0,4.65,0,,3,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.2813,-232.085366,,399.999809,1,4.65,0,,4,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
