p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor,FORCE MAX,FORCE MIN,DIST @MAX,DIST @MIN
,,,,20,67.900203,-87.437014,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,110.740875,-0.336119,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-0.508058,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-7.03713,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-36.026903,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-74.174587,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-79.89571,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-84.333176,0,39.999981,1,0,0,,0,SAFEWAY,11.3-18,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,110.740875,-0.256548,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-19,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-0.834199,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-19,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
